"STOCK_CODE","STOCK_NAME","MARKET_TYPE","SECTOR","LISTED_DATE","STATUS"
"407400","꿈비","KOSDAQ","가구 제조업",23/02/09,"ACTIVE"
"187790","나노","KOSDAQ","기초 화학물질 제조업",14/05/08,"ACTIVE"
"286750","나노실리칸첨단소재","KOSDAQ","기초 화학물질 제조업",19/08/19,"ACTIVE"
"039860","나노엔텍","KOSDAQ","의료용 기기 제조업",00/08/16,"ACTIVE"
"091970","나노캠텍","KOSDAQ","플라스틱제품 제조업",07/01/30,"ACTIVE"
"244880","나눔테크","KONEX","의료용 기기 제조업",16/06/01,"ACTIVE"
"405920","나라셀라","KOSDAQ","음·식료품 및 담배 도매업",23/06/02,"ACTIVE"
"137080","나래나노텍","KOSDAQ","특수 목적용 기계 제조업",22/02/08,"ACTIVE"
"190510","나무가","KOSDAQ","전자부품 제조업",15/11/12,"ACTIVE"
"242040","나무기술","KOSDAQ","소프트웨어 개발 및 공급업",16/09/07,"ACTIVE"
"257990","나우코스","KONEX","기타 화학제품 제조업",20/12/30,"ACTIVE"
"130580","나이스디앤비","KOSDAQ","기타 사업지원 서비스업",11/12/22,"ACTIVE"
"036800","나이스정보통신","KOSDAQ","전기 통신업",00/05/03,"ACTIVE"
"030190","나이스평가정보보통주","KOSPI","기타 정보 서비스업",23/08/08,"ACTIVE"
"267320","나인테크","KOSDAQ","특수 목적용 기계 제조업",17/06/22,"ACTIVE"
"001260","남광토건보통주","KOSPI","토목 건설업",76/12/28,"ACTIVE"
"008355","남선알미늄1우선주","KOSPI","금속",89/12/23,"ACTIVE"
"004270","남성보통주","KOSPI","기타 전문 도매업",89/11/14,"ACTIVE"
"003925","남양유업1우선주","KOSPI","음식료·담배",88/06/20,"ACTIVE"
"003920","남양유업보통주","KOSPI","동·식물성 유지 및 낙농제품 제조업",78/06/24,"ACTIVE"
"111710","남화산업","KOSDAQ","스포츠 서비스업",18/11/29,"ACTIVE"
"091590","남화토건","KOSDAQ","건물 건설업",12/01/31,"ACTIVE"
"168330","내츄럴엔도텍","KOSDAQ","자연과학 및 공학 연구개발업",13/10/31,"ACTIVE"
"094860","네오리진","KOSDAQ","소프트웨어 개발 및 공급업",07/04/16,"ACTIVE"
"253590","네오셈","KOSDAQ","특수 목적용 기계 제조업",18/04/04,"ACTIVE"
"095660","네오위즈","KOSDAQ","소프트웨어 개발 및 공급업",07/07/02,"ACTIVE"
"042420","네오위즈홀딩스","KOSDAQ","소프트웨어 개발 및 공급업",00/06/27,"ACTIVE"
"311390","네오크레마","KOSDAQ","기타 식품 제조업",19/08/22,"ACTIVE"
"085910","네오티스","KOSDAQ","자동차 신품 부품 제조업",07/10/01,"ACTIVE"
"092730","네오팜","KOSDAQ","기타 화학제품 제조업",07/01/30,"ACTIVE"
"153460","네이블","KOSDAQ","소프트웨어 개발 및 공급업",12/07/19,"ACTIVE"
"033640","네패스","KOSDAQ","반도체 제조업",99/12/14,"ACTIVE"
"330860","네패스아크","KOSDAQ","그외 기타 전문, 과학 및 기술 서비스업",20/11/17,"ACTIVE"
"005725","넥센1우선주","KOSPI","화학",89/09/23,"ACTIVE"
"005720","넥센보통주","KOSPI","고무제품 제조업",87/12/19,"ACTIVE"
"002355","넥센타이어1우선주(신형)","KOSPI","화학",99/06/08,"ACTIVE"
"002350","넥센타이어보통주","KOSPI","고무제품 제조업",76/05/19,"ACTIVE"
"089140","넥스턴앤롤코리아","KOSDAQ","특수 목적용 기계 제조업",06/11/01,"ACTIVE"
"389650","넥스트바이오메디컬","KOSDAQ","의료용 기기 제조업",24/08/20,"ACTIVE"
"160550","넥스트엔터테인먼트월드","KOSDAQ","영화, 비디오물, 방송프로그램 제작 및 배급업",14/12/23,"ACTIVE"
"396270","넥스트칩","KOSDAQ","반도체 제조업",22/07/01,"ACTIVE"
"092790","넥스틸보통주","KOSPI","1차 철강 제조업",23/08/21,"ACTIVE"
"225570","넥슨게임즈","KOSDAQ","소프트웨어 개발 및 공급업",15/09/25,"ACTIVE"
"217270","넵튠","KOSDAQ","소프트웨어 개발 및 공급업",15/06/18,"ACTIVE"
"317860","노드메이슨","KONEX","기타 화학제품 제조업",19/12/06,"ACTIVE"
"104620","노랑풍선","KOSDAQ","여행사 및 기타 여행보조 서비스업",19/01/30,"ACTIVE"
"090355","노루페인트 1우선주","KOSPI","화학",06/07/03,"ACTIVE"
"000325","노루홀딩스1우선주","KOSPI","기타금융",89/01/21,"ACTIVE"
"000320","노루홀딩스보통주","KOSPI","기타 금융업",73/08/10,"ACTIVE"
"194700","노바렉스","KOSDAQ","기타 식품 제조업",18/11/14,"ACTIVE"
"285490","노바텍","KOSDAQ","그외 기타 제품 제조업",18/11/02,"ACTIVE"
"145170","노브랜드","KOSDAQ","편조의복 제조업",24/05/23,"ACTIVE"
"376930","노을","KOSDAQ","의료용 기기 제조업",22/03/03,"ACTIVE"
"486990","노타","KOSDAQ","소프트웨어 개발 및 공급업",25/11/03,"ACTIVE"
"006280","녹십자보통주","KOSPI","의약품 제조업",89/08/01,"ACTIVE"
"005257","녹십자홀딩스2우선주(신형)","KOSPI","일반서비스",97/03/19,"ACTIVE"
"005250","녹십자홀딩스보통주","KOSPI","회사 본부 및 경영 컨설팅 서비스업",78/08/28,"ACTIVE"
"004370","농심보통주","KOSPI","기타 식품 제조업",76/06/30,"ACTIVE"
"072710","농심홀딩스보통주","KOSPI","기타 금융업",03/07/30,"ACTIVE"
"154030","농업회사법인 아시아종묘","KOSDAQ","작물 재배업",18/02/12,"ACTIVE"
"403490","농업회사법인 우듬지팜","KOSDAQ","과실, 채소 가공 및 저장 처리업",23/09/19,"ACTIVE"
"040160","누리플렉스","KOSDAQ","소프트웨어 개발 및 공급업",00/08/29,"ACTIVE"
"348340","뉴로메카","KOSDAQ","특수 목적용 기계 제조업",22/11/04,"ACTIVE"
"380550","뉴로핏","KOSDAQ","소프트웨어 개발 및 공급업",25/07/25,"ACTIVE"
"060260","뉴보텍","KOSDAQ","플라스틱제품 제조업",02/02/05,"ACTIVE"
"012340","뉴인텍","KOSDAQ","자동차 신품 부품 제조업",97/02/12,"ACTIVE"
"462310","뉴키즈온","KOSDAQ","봉제의복 제조업",25/07/09,"ACTIVE"
"144960","뉴파워프라즈마","KOSDAQ","특수 목적용 기계 제조업",16/11/30,"ACTIVE"
"085670","뉴프렉스","KOSDAQ","전자부품 제조업",06/01/17,"ACTIVE"
"039560","다산네트웍스","KOSDAQ","통신 및 방송 장비 제조업",00/06/22,"ACTIVE"
"154040","다산솔루에타","KOSDAQ","전자부품 제조업",13/12/27,"ACTIVE"
"030210","다올투자증권보통주","KOSPI","금융 지원 서비스업",96/11/19,"ACTIVE"
"032190","다우데이타","KOSDAQ","기계장비 및 관련 물품 도매업",99/12/21,"ACTIVE"
"323350","다원넥스뷰","KOSDAQ","특수 목적용 기계 제조업",24/06/11,"ACTIVE"
"068240","다원시스","KOSDAQ","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",10/09/14,"ACTIVE"
